Ticker,Cluster,Sector,Avg_Return,Volatility
A,0,Life Sciences Tools & Services,-0.00013501330812940284,0.016905302564271064
AAPL,2,"Technology Hardware, Storage & Peripherals",0.0018349273718675319,0.01257004079219896
ABBV,0,Biotechnology,4.819299375942638e-05,0.01235649828367273
ABNB,1,"Hotels, Resorts & Cruise Lines",0.002252423258355204,0.026774555659914705
ABT,0,Health Care Equipment,0.00017493844753048923,0.012513957799118887
ACGL,0,Property & Casualty Insurance,0.0008258405491903478,0.016124208062296495
ACN,0,IT Consulting & Other Services,0.0012065587346717043,0.013755323412654777
ADBE,2,Application Software,0.0024979856722337824,0.02006051432803496
ADI,2,Semiconductors,0.0010176950030985198,0.016489367216227162
ADM,0,Agricultural Products & Services,-0.0006787938973505303,0.013921789840505804
ADP,0,Human Resource & Employment Services,9.829528388253119e-05,0.013217199139528376
ADSK,2,Application Software,0.001296232255454616,0.019655852943365894
AEE,4,Multi-Utilities,-0.0005873270197468853,0.013851046083637235
AEP,4,Electric Utilities,-0.0003776869966020564,0.013121905376352213
AES,4,Independent Power Producers & Energy Traders,-0.001159012900082565,0.02155139754225699
AFL,0,Life & Health Insurance,0.0007414365123175501,0.012532824419311783
AIG,1,Multi-line Insurance,0.0005306444285538644,0.016491768195792234
AIZ,0,Multi-line Insurance,0.0013567245968155817,0.017437993637270666
AJG,0,Insurance Brokers,0.0008496924703355045,0.012035306500418976
AKAM,0,Internet Services & Infrastructure,0.001444710837431257,0.015065089690205055
ALB,1,Specialty Chemicals,-0.0010994259623482016,0.030021476857671245
ALGN,1,Health Care Supplies,0.0016453262466909735,0.035286412166384354
ALL,0,Property & Casualty Insurance,0.00035886966433578245,0.016881904480691587
ALLE,0,Building Products,0.0008534005963331209,0.01651530460942085
AMAT,2,Semiconductor Materials & Equipment,0.0023376333242437,0.0213516572422409
AMCR,0,Paper & Plastic Packaging Products & Materials,-0.0005606289063405754,0.013606341433459283
AMD,2,Semiconductors,0.0037850393387527615,0.029569177426645013
AME,0,Electrical Components & Equipment,0.0007355764271377541,0.011535977002636042
AMGN,0,Biotechnology,0.0006074230752512128,0.013081375313485338
AMP,1,Asset Management & Custody Banks,0.0010038670352975761,0.016156034769366088
AMT,4,Telecom Tower REITs,0.0002983884186033153,0.01688004922360931
AMZN,2,Broadline Retail,0.0025114943980005886,0.02080485429232518
ANET,2,Communications Equipment,0.0030870002723677437,0.02878458324269474
ANSS,2,Application Software,0.0018902158165379334,0.0207089505456843
AON,0,Insurance Brokers,-5.7769273787607505e-06,0.012480525892009557
AOS,1,Building Products,0.0015735947078694113,0.01756504009381282
APA,3,Oil & Gas Exploration & Production,-0.0004084591871265831,0.023631693757524438
APD,0,Industrial Gases,-0.00022982687638095766,0.0155687091014864
APH,0,Electronic Components,0.0011542722197944895,0.011665132836239905
APO,1,Asset Management & Custody Banks,0.0018813207556885936,0.02017618381758766
APTV,1,Automotive Parts & Equipment,7.296288295280517e-05,0.020733064493615477
ARE,4,Office REITs,-0.0001011347408634893,0.021992830662989432
ATO,4,Gas Utilities,0.0003414689393099599,0.011829715183535094
AVB,4,Multi-Family Residential REITs,0.000845402809132839,0.014280537360859668
AVGO,2,Semiconductors,0.0031124203982263307,0.02026330892548716
