Ticker,Cluster,Sector,Average_Return,Volatility
A,-1,Life Sciences Tools & Services,-0.00013501341065288294,0.016905294397675134
AAPL,-1,"Technology Hardware, Storage & Peripherals",0.001834926722402766,0.01257002832614617
ABBV,-1,Biotechnology,4.8193059616518134e-05,0.012356504169729991
ABNB,-1,"Hotels, Resorts & Cruise Lines",0.002252423258355204,0.026774555659914705
ABT,-1,Health Care Equipment,0.00017493803934167003,0.012513971360032027
ACGL,-1,Property & Casualty Insurance,0.0008258405491903478,0.016124208062296495
ACN,-1,IT Consulting & Other Services,0.0012065579540716494,0.013755308824150742
ADBE,-1,Application Software,0.0024979856722337824,0.02006051432803496
ADI,-1,Semiconductors,0.0010176939265796898,0.01648935432565837
ADM,-1,Agricultural Products & Services,-0.0006787931688910056,0.013921789811128118
ADP,-1,Human Resource & Employment Services,9.82955869042246e-05,0.013217201370197846
ADSK,-1,Application Software,0.001296232255454616,0.019655852943365894
AEE,-1,Multi-Utilities,-0.0005873268086517444,0.01385106115434878
AEP,-1,Electric Utilities,-0.000377687785293933,0.013121899417426884
AES,-1,Independent Power Producers & Energy Traders,-0.0011590119477728278,0.021551394853784423
AFL,-1,Life & Health Insurance,0.0007414362183473592,0.012532806823709249
AIG,-1,Multi-line Insurance,0.00053064421475318,0.016491752477405315
AIZ,-1,Multi-line Insurance,0.0013567240211271971,0.017437996424738814
AJG,-1,Insurance Brokers,0.0008496916879445969,0.0120352974373505
AKAM,-1,Internet Services & Infrastructure,0.001444710837431257,0.015065089690205055
ALB,-1,Specialty Chemicals,-0.0010994255346590443,0.03002148075218721
ALGN,-1,Health Care Supplies,0.0016453262466909735,0.035286412166384354
ALL,-1,Property & Casualty Insurance,0.000358869509033933,0.01688189519816244
ALLE,-1,Building Products,0.0008534015051454676,0.016515309195911747
AMAT,-1,Semiconductor Materials & Equipment,0.002337632968204813,0.02135165826737692
AMCR,-1,Paper & Plastic Packaging Products & Materials,-0.0005606298234278062,0.013606331353006462
AMD,-1,Semiconductors,0.0037850393387527615,0.029569177426645013
AME,-1,Electrical Components & Equipment,0.0007355758196811377,0.011536001251903927
AMGN,-1,Biotechnology,0.0006074231440708575,0.013081380614613404
