Ticker,Cluster,Sector,Average_Return,Volatility
A,3,Life Sciences Tools & Services,9.384604752423042e-05,0.022287808618499775
AAPL,1,"Technology Hardware, Storage & Peripherals",-0.0010735010757733333,0.02247130570597858
ABBV,4,Biotechnology,0.0009605109310318558,0.0141289474387587
ABNB,2,"Hotels, Resorts & Cruise Lines",-0.002077359703528939,0.038123046285120296
ABT,3,Health Care Equipment,-0.0007366379931216707,0.016817991648170556
ACGL,4,Property & Casualty Insurance,0.0015261329655529674,0.017597689499741248
ACN,3,IT Consulting & Other Services,-0.0014176442559266271,0.020882436097736996
ADBE,2,Application Software,-0.001655626680227535,0.028442082282431724
ADI,1,Semiconductors,3.507015919989342e-05,0.02320431740667809
ADM,4,Agricultural Products & Services,0.001522406641818382,0.01965108419056698
ADSK,2,Application Software,-0.0012213687981639954,0.030156724938434357
AEE,4,Multi-Utilities,0.00021562653443535674,0.013860824362023105
AEP,4,Electric Utilities,0.0005206812753406411,0.01478838070716192
AES,3,Independent Power Producers & Energy Traders,0.001015822822650349,0.022167415606268143
AFL,4,Life & Health Insurance,0.0010561226528415979,0.014871726315240245
AIG,1,Multi-line Insurance,0.0006902779232710609,0.02061546576615813
AIZ,4,Multi-line Insurance,-0.000648190005899588,0.018415716436177083
AJG,3,Insurance Brokers,0.0006804935195433685,0.016814572501346162
AKAM,3,Internet Services & Infrastructure,-0.001149284372146536,0.018850348167331152
ALB,2,Specialty Chemicals,0.00028635682874190673,0.034667946039967285
ALGN,2,Health Care Supplies,-0.0037563015140180227,0.03782206743152826
ALL,4,Property & Casualty Insurance,0.000833077083212232,0.01879683106313104
ALLE,3,Building Products,-0.0005585465026177156,0.020208045485557453
AMAT,2,Semiconductor Materials & Equipment,-0.0014364779057762123,0.031962035209088885
AMCR,3,Paper & Plastic Packaging Products & Materials,0.00032075655600551165,0.017463049276960955
AMD,2,Semiconductors,-0.002620994665782066,0.03845931340668737
AME,3,Electrical Components & Equipment,3.426110046405517e-05,0.015425147405310377
AMGN,4,Biotechnology,0.0008063359973436905,0.013716470352013026
AMP,1,Asset Management & Custody Banks,0.0004099778551745965,0.0224063856475963
AMT,3,Telecom Tower REITs,-0.0009011390200021871,0.020084474846128356
AMZN,2,Broadline Retail,-0.002329137756859738,0.031571190100034924
ANET,2,Communications Equipment,-0.0002703348104729657,0.027115954664275365
ANSS,2,Application Software,-0.00162829388725225,0.026247435339659647
AON,3,Insurance Brokers,0.0002781434317712459,0.017600962396572033
AOS,1,Building Products,-0.0012453498117372833,0.019702961462373887
APA,4,Oil & Gas Exploration & Production,0.0027940759363709777,0.037084062975625054
APD,3,Industrial Gases,0.00042836230083811923,0.018078003511391584
APH,3,Electronic Components,-0.00029069518916668226,0.01873538080837232
APO,1,Asset Management & Custody Banks,2.3502336242076984e-05,0.027414550233737997
APTV,1,Automotive Parts & Equipment,-0.0017726435096688884,0.03282422663903001
ARE,3,Office REITs,-0.0013341588689330345,0.019385103685527712
ATO,4,Gas Utilities,0.00046633110804500963,0.01473483992170856
AWK,3,Water Utilities,-0.0005430917343065125,0.016997519753061633
AXP,1,Consumer Finance,-0.00021672347943103843,0.022406792711995003
GOOG,1,Interactive Media & Services,-0.0016664180183917922,0.024470297592875778
GOOGL,1,Interactive Media & Services,-0.001688641251460853,0.024395847655989258
LNT,4,Electric Utilities,-0.00014948148374002335,0.015446722279658416
MMM,3,Industrial Conglomerates,-0.0012583672542003637,0.01721266725412377
MO,4,Tobacco,0.00024801819243453193,0.01569667258311174
T,4,Integrated Telecommunication Services,0.0002654846657742298,0.017193150475686418
ADP,3,Human Resource & Employment Services,0.00014926126893320557,0.0178465165064602
AVB,3,Multi-Family Residential REITs,-0.001513297346844726,0.0169948202665375
AVGO,1,Semiconductors,-0.00028122076264820885,0.023542763310285247
AVY,1,Paper & Plastic Packaging Products & Materials,-0.00032665093951462154,0.02092234176022889
AXON,2,Aerospace & Defense,0.0008747260911216537,0.033196517980729236
AZO,4,Automotive Retail,0.0009242874275412754,0.018658060311548336
BA,1,Aerospace & Defense,8.549064224873427e-05,0.02945541304300982
BAC,1,Diversified Banks,-0.0010316689626926863,0.020350321282473927
BALL,3,"Metal, Glass & Plastic Containers",-0.0020046256583948928,0.02607585582789252
BAX,3,Health Care Equipment,-0.001877656901568513,0.01902912269894027
BBY,1,Computer & Electronics Retail,-0.00038221798734039235,0.028619191394683777
BDX,4,Health Care Equipment,0.00028773643001367064,0.015333957030564763
BF-B,4,Distillers & Vintners,-0.00017074942004566073,0.01610942400661268
BG,4,Agricultural Products & Services,0.0005617643886321498,0.021022866030287128
BIIB,3,Biotechnology,0.0009497414603026316,0.03200508152666359
BK,1,Asset Management & Custody Banks,-0.0006826638520453154,0.019841712881556284
BKNG,1,"Hotels, Resorts & Cruise Lines",-0.00043959825275836104,0.026799475050265177
